Date,Close,yhat
8/8/2011,1.58,3.21
8/9/2011,1.67,2.89
8/10/2011,1.59,3.14
8/11/2011,1.69,2.87
8/12/2011,1.75,2.80
8/15/2011,1.75,4.12
8/16/2011,1.74,3.74
8/17/2011,1.72,3.93
8/18/2011,1.62,3.58
8/19/2011,1.49,3.42
8/22/2011,1.46,4.46
8/23/2011,1.53,4.01
8/24/2011,1.59,4.13
8/25/2011,1.54,3.73
8/26/2011,1.58,3.54
8/29/2011,1.65,4.64
8/30/2011,1.64,4.25
8/31/2011,1.65,4.46
9/1/2011,1.6,4.16
9/2/2011,1.54,4.09
9/6/2011,1.53,5.34
9/7/2011,1.59,5.68
9/8/2011,1.57,5.49
9/9/2011,1.53,5.51
9/12/2011,1.53,7.11
9/13/2011,1.61,6.82
9/14/2011,1.62,7.08
9/15/2011,1.65,6.79
9/16/2011,1.72,6.66
9/19/2011,1.72,7.59
9/20/2011,1.73,7.02
9/21/2011,1.72,6.98
9/22/2011,1.71,6.37
9/23/2011,1.76,5.91
9/26/2011,1.7,5.90
9/27/2011,1.75,5.04
9/28/2011,1.64,4.75
9/29/2011,1.61,3.92
9/30/2011,1.63,3.28
10/3/2011,1.58,3.02
10/4/2011,1.58,2.19
10/5/2011,1.69,1.97
10/6/2011,1.8,1.26
10/7/2011,1.8,0.80
10/10/2011,1.86,1.32
10/11/2011,1.84,0.81
10/12/2011,1.85,0.93
10/13/2011,1.86,0.58
10/14/2011,1.87,0.48
10/17/2011,1.83,2.02
10/18/2011,1.89,1.81
10/19/2011,1.84,2.19
10/20/2011,1.82,2.07
10/21/2011,1.87,2.16
10/24/2011,1.9,3.97
10/25/2011,1.88,3.77
10/26/2011,1.87,4.11
10/27/2011,1.92,3.91
10/28/2011,1.99,3.87
10/31/2011,1.96,5.18
11/1/2011,1.93,4.78
11/2/2011,1.91,4.92
11/3/2011,2.16,4.51
11/4/2011,2.15,4.29
11/7/2011,2.08,5.17
11/8/2011,2.12,4.67
11/9/2011,2.06,4.76
11/10/2011,2.09,4.34
11/11/2011,2.24,4.14
11/14/2011,2.21,5.26
11/15/2011,2.26,4.91
